,created_at,text,full_text
259,Fri Mar 10 02:08:12 +0000 2017,Bidan Desa Ditandu Sejauh 8 KM Usai Melahirkan di Tengah Longsor Limapuluh Kota https://t.co/7elJdfnSWZ | PekanBaruâ¦ https://t.co/8fokdYOfp6,Bidan Desa Ditandu Sejauh 8 KM Usai Melahirkan di Tengah Longsor Limapuluh Kota https://t.co/7elJdfnSWZ | PekanBaru #Riau https://t.co/iqbIt2L06t
260,Fri Feb 09 13:12:16 +0000 2018,"Ibarat Mimpi Jadi Nyata, Wali Kota Pekanbaru Resmikan Rumah Sakit Daerah yang Kehadirannya Telah Sekian Lama Dinantâ¦ https://t.co/ZsAcdUc68D","Ibarat Mimpi Jadi Nyata, Wali Kota Pekanbaru Resmikan Rumah Sakit Daerah yang Kehadirannya Telah Sekian Lama Dinanti Warga https://t.co/anm0hAjbCw"
261,Sun Mar 09 03:16:51 +0000 2014,"Udara Pekanbaru sangat tidak sehat akibat asap: Kualitas udara di Kota Pekanbaru kini dalam status ""Sangat Tid... http://t.co/g8o5I74BHs",
262,Tue Apr 11 08:36:19 +0000 2017,Gubri: Bidan Jadi Ujung Tombak Program KB https://t.co/wybphvjN9O | PekanBaru #Riau https://t.co/1wKEftNGrP,
263,Thu Jan 09 00:36:02 +0000 2014,At Puskesmas Limapuluh Kota Pekanbaru â https://t.co/klpMVYzpr1,
264,Thu Nov 20 13:31:12 +0000 2014,"Pekanbaru siagakan Puskesmas antisipasi banjir: Dinas Kesehatan Kota Pekanbaru, Provinsi Riau, telah menyiagak... http://t.co/H3VH6zDQTp",
265,Fri Apr 28 17:48:10 +0000 2017,Penderita DBD di Kota Pekanbaru Terus Meningkat https://t.co/2RJD0ZFPft https://t.co/YRzSiFQgtO,
266,Mon Oct 01 07:50:25 +0000 2018,"21 Puskesmas Kota Pekanbaru Terima Dana BOK Capai Rp 9,4 M Dari Pusat - Detik News Ocean (DNO): Your Latest Informaâ¦ https://t.co/xIbT1gbtjH","21 Puskesmas Kota Pekanbaru Terima Dana BOK Capai Rp 9,4 M Dari Pusat - Detik News Ocean (DNO): Your Latest Information https://t.co/cnjjTYZrIg"
267,Thu Nov 20 11:54:05 +0000 2014,"Puskesmas Pekanbaru Siaga Banjir: PEKANBARU,SeRiau â Dinas Kesehatan Kota Pekanbaru, menyiagakan seluruh puske... http://t.co/lMI1kB6p8w",
268,Tue Feb 13 21:27:06 +0000 2018,Akhirnya Kota Pekanbaru Punya Rumah Sakit 'Sendiri' https://t.co/mr9M76BboE,
269,Wed Apr 10 06:36:02 +0000 2019,APOTIK DE NATURE HERBAL: Alamat Apotik Jual Obat Sipilis Di Kota Pekanbaru https://t.co/EdPr3gdZlA,
270,Tue Aug 20 16:03:35 +0000 2013,"Hahaha ""@DedePurwadi: Macem Tukang kusuk bah. Profesionlâ@RafinaFynha: Info rumah sakit yang professional di kota pekanbaru donk..""",
271,Tue Aug 14 14:42:23 +0000 2018,"Manfaatkan Fasilitas, Rumah Sakit Daerah Kota Pekanbaru Siap LayaniÂ Masyarakat

#beritaPKU
https://t.co/JlfAYAytDd https://t.co/476qROIC8y",
272,Sat May 30 22:36:34 +0000 2015,"Sumber from IG Sehat_ok... and happy Sunday yang lagi Diet.. khaputtry , aku menyusul. @ Kota Pekanbaru https://t.co/LNy0u9vRwf",
273,Thu Mar 09 09:00:41 +0000 2017,Mengkhawatirkan!! Kasus DBD di Pekanbaru Terus Meningkat: Kasus Demam Berdarah Dengue (DBD) di Kota Pekanbaruâ¦ https://t.co/sJw1RDi4me,
274,Wed Sep 17 02:59:29 +0000 2014,#BEMUINAWARDS Berita Terkini Hari Ini: ISPU Kota Pekanbaru Tidak Sehat: Berita terbaru Kota Pekan... http://t.co/aehZGjboOS #IBFUINSUSKA,
275,Fri Feb 16 14:27:11 +0000 2018,"Novrianti, Tetap Semangat Keliling Jualan Makanan di Atas Kursi Roda: kaki sebelah kanannya terpaksa diamputasi karâ¦ https://t.co/3wwSSFPYaC","Novrianti, Tetap Semangat Keliling Jualan Makanan di Atas Kursi Roda: kaki sebelah kanannya terpaksa diamputasi karena menderita penyakit diabetes https://t.co/AmUbVN2Wa2 https://t.co/ZI8xpbrYgi"
276,Sat Jun 02 19:20:48 +0000 2018,"Salinan dari Terobosan Walikota Firdaus, Puskesmas Wisata di Kota Pekanbaru Riau: https://t.co/Xd7IX4pFzD melalui @YouTube",
277,Wed Nov 22 16:16:24 +0000 2017,Pembangunan fisik RSUD Pekanbaru butuh Rp21 miliar lagi https://t.co/ETieEZBOzt,
278,Mon Sep 28 05:19:09 +0000 2015,"@Kota_Pekanbaru PKU 12.00 WIB Visibility 1.200 Mtr , 12.00 WIB Konsentrasi Partikulat 173,29 Tidak Sehat #MelawanAsap",
279,Wed Oct 04 16:33:05 +0000 2017,Waspadaâ¦ Rupanya Masih Banyak Obat dan Kosmetik Ilegal Dijual di Kota Pekanbaru https://t.co/B6MAzOuQca https://t.co/8nnx91W8uQ,
280,Tue Nov 13 02:37:04 +0000 2018,"Keluarga Tak Izinkan Mayat Dokter yang Ditemukan Tersangkut di Jembatan Jondul Diotopsi: Senin pagi tadi, 12 Novembâ¦ https://t.co/ryE50pAGZt","Keluarga Tak Izinkan Mayat Dokter yang Ditemukan Tersangkut di Jembatan Jondul Diotopsi: Senin pagi tadi, 12 November 2018, warga Kota Pekanbaru dihebohkan dengan penemuan mayat seorang pria yang tersangkut di bawah jembatan Sungai Sail, tepatnya diâ¦ https://t.co/WalsoIfuyG https://t.co/KmDpiHDkg7"
281,Fri Sep 07 01:27:56 +0000 2018,"Bersama Tim Dokter IDI Kota Pekanbaru...
#semarakqurbanmelebung
#qurbanbersamauntuksesamaâ¦ https://t.co/efT6CH1k7y","Bersama Tim Dokter IDI Kota Pekanbaru...
#semarakqurbanmelebung
#qurbanbersamauntuksesama 
#semogaberkahdanbermanfaat
#zakathebat 
#lazismupekanbaru 
#memberiuntuknegeri https://t.co/WypceYySmT"
282,Tue Apr 24 05:50:29 +0000 2018,RSUD Tengku Rafian Siak Menuju Akreditasi SNARS https://t.co/8EpSQ7uuSY https://t.co/wYBewfUOQ0,
283,Sat Aug 10 21:26:34 +0000 2019,Dinkes Perintahkan Puskesmas Siapkan Ambulance di Lokasi Salat Ied https://t.co/YCzeJDNov1 https://t.co/Y1qhsByWtd,
284,Mon Feb 22 01:17:08 +0000 2016,Gwsmaað¢ (with Mamað± at RSUD kota Pekanbaru) â https://t.co/uP7qc8wbea,
285,Tue Sep 10 00:59:39 +0000 2013,"Pagiiiiiii!!! (with Vinka, Ratna, and 10 others at Puskesmas Limapuluh Kota Pekanbaru) [pic] â https://t.co/3xgr9tGbRQ",
286,Wed Jun 26 04:03:22 +0000 2019,"Kecamatan Tampan Juara 1 Lomba PHBS dan Juara III Posyandu Tingkat Kota Pekanbaru

https://t.co/hip033nGZ1",
287,Wed Mar 12 05:23:59 +0000 2014,"Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Biasa (KLB) yang warganya diserang... http://t.co/XncyYgAihH",
288,Wed Apr 15 11:00:00 +0000 2020,"Namanya Eko Chandra. Berprofesi sebagai perawat di salah satu rumah sakit swasta di Kota Pekanbaru, Riau. Tugasnyaâ¦ https://t.co/lEB3uHJYMr","Namanya Eko Chandra. Berprofesi sebagai perawat di salah satu rumah sakit swasta di Kota Pekanbaru, Riau. Tugasnya berjaga di UGD. Setiap harinya, pasien terindikasi positif Covid-19 datang ke tempatnya bekerja.  Ini kisah tawa dan tangis Eko, sang pahlawan medis. #MDKVideo https://t.co/Kwbo07AxDV"
289,Thu May 10 12:31:58 +0000 2018,"Selama April, 28 Orang di Pekanbaru Terserang DBD, 1 Meninggal Dunia: Selama bulan April 2018, Dinas Kesehatan (Disâ¦ https://t.co/VlfMC9qiEi","Selama April, 28 Orang di Pekanbaru Terserang DBD, 1 Meninggal Dunia: Selama bulan April 2018, Dinas Kesehatan (Diskes) Kota Pekanbaru mencatat setidaknya 28 orang di Kota Pekanbaru telah terserang Demam Berdarah Dengue (DBD). https://t.co/B42t4Ttclq https://t.co/pU4DMKgWFu"
290,Fri Aug 16 13:08:16 +0000 2019,Puluhan balita di Pekanbaru mulai terserang penyakit Inspeksi Saluran Pernapasan Akut (ISPA) akibat kabut asap dariâ¦ https://t.co/jeLA8fVxEv,"Puluhan balita di Pekanbaru mulai terserang penyakit Inspeksi Saluran Pernapasan Akut (ISPA) akibat kabut asap dari kebakaran hutan dan lahan. Di Puskesmas Simpang Tiga, Kota Pekanbaru, tercatat 15 balita 1-4 tahun terkena ISPA
#perlindungananak #kabutasap
https://t.co/W3ocMJ5h2x"
291,Fri Dec 06 00:54:01 +0000 2013,At Puskesmas Limapuluh Kota Pekanbaru â https://t.co/pDmdFSMhTi,
292,Mon Jun 29 02:19:32 +0000 2020,https://t.co/Nr6zK0wLNy  Hasil Swab 50 Tenaga Kesehatan Puskesmas Rumbai Negatif Covid-19: Hasil swab 50 orang tenaâ¦ https://t.co/T3sgKo1CYr,https://t.co/Nr6zK0wLNy  Hasil Swab 50 Tenaga Kesehatan Puskesmas Rumbai Negatif Covid-19: Hasil swab 50 orang tenaga kesehatan (nakes) di Puskesmas Rumbai Kota Pekanbaru dinyatakan negatif dari Covid-19. Mereka dites swab lantaran adanya salah seorang dokterâ¦ Sumber merdeka com https://t.co/x8KmEW1fKU
293,Sun Oct 02 14:05:43 +0000 2016,"Kepala BPMKB Kota Pekanbaru Legalkan Pungutan di Posyandu, Ini Alasannya https://t.co/BjfZpIJXNd",
